,id,breed,price,color,location,age,zip,height,temp,warmblood,sold,soldhere,forsale,forlease,registered,skills
2016023,2016023,,52500,Grey,San Antonio Texas 78248,12.961643835616439,78248,15.3 hh,5,False,True,False,,,True,['Dressage']
1687919,1687919,,40000,Black,Eagle Creek Oregon 97022,5.794520547945205,97022,16.3 hh,2,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Hunter (Started)', 'Jumping (Started)']"
1994704,1994704,,0,Black,Murrieta California 92562,11.797260273972602,92562,16.0 hh,3,False,False,False,,,True,"['Dressage', 'Eventing', 'Jumping', 'Trail Riding, Recreational']"
2015916,2015916,,23500,Bay,Portland Oregon 98629,7.879452054794521,98629,15.3 hh,5,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Trail Riding, Recreational (In Training/Has Training)', 'Working Equitation (Started)']"
2015890,2015890,,9500,Bay,Anoka Minnesota 55303,3.6246575342465754,55303,15.3 hh,2,False,False,False,,,True,"['All Around (In Training/Has Training)', 'Dressage (In Training/Has Training)', 'Eventing (In Training/Has Training)', 'Hunter (In Training/Has Training)', 'Jumping (In Training/Has Training)']"
2015897,2015897,,6000,Bay,Stillwater Minnesota 55082,7.712328767123288,55082,16.0 hh,6,False,False,False,,,True,"['Dressage (In Training/Has Training)', 'Eventing (Shown/Competed/Performed)', 'Hunter (In Training/Has Training)', 'Jumping (Shown/Competed/Performed)', 'Pony Club (In Training/Has Training)']"
2015886,2015886,,13000,Grey,Portland Oregon 98629,0.9534246575342465,98629,0 Inches,4,False,False,False,,,True,"['Baroque Horse (Prospect)', 'Dressage (Prospect)', 'Working Equitation (Prospect)']"
2015888,,,,,,,,,,,,,,,,
2015877,2015877,,49000,Liver Chestnut,Sherwood Oregon 97140,14.046575342465754,97140,17.1 hh,3,False,False,False,,,True,"['Dressage', 'Jumping']"
2015881,2015881,,0,Chestnut,Tuscola Illinois 61953,20.052054794520547,61953,16.0 hh,3,False,False,False,,,True,"['Dressage', 'Pony Club', 'Schoolmaster', 'Trail Riding, Recreational']"
2015854,2015854,,2000,Bay,Nottingham Pennsylvania 19362,14.046575342465754,19362,17.0 hh,3,False,False,False,,,True,"['All Around (In Training/Has Training)', 'Dressage (In Training/Has Training)', 'English Pleasure (Finished/Proficient)', 'Eventing (In Training/Has Training)', 'Trail Riding, Recreational (In Training/Has Training)']"
1996650,1996650,,6500,Black,Corvallis Montana 59828,0.5424657534246575,59828,0 Inches,5,False,False,False,,,True,"['Baroque Horse', 'Dressage', 'Natural Horsemanship Training', 'Western Dressage']"
